house_index,bedrooms,bathrooms,toilets,property_type,property_subtype,locality,postal_code,street,number,box,apptFloor,totalfloorCount,latitude,longitude,kitchen,facades,furnished,terrace,terraceSurface,fireplace,fireplaceCount,garden,gardenSurface,pool,landSurface,livingArea,buildingState,constructionYear,cadastralIncome,price,nearest_transport,nearest_school,nearest_supermarket,mobib_score
11396,6.0,2.0,2.0,HOUSE,TOWN_HOUSE,WILRIJK,2610,Valaarstraat,90,,,,51.1781327,4.3854431,1.0,3.0,0.0,1.0,7.0,0.0,0.0,1.0,115.0,0.0,279.0,250.0,AS_NEW,1977.0,2183.0,499000.0,397.89400114698674,142.45536836670263,478.76294960266847,9.055329119824437
11397,3.0,1.0,2.0,HOUSE,HOUSE,SINT-GILLIS-WAAS,9170,Kluizendijkstraat,35,,,,51.2354375,4.1016208,1.0,4.0,0.0,1.0,14.0,0.0,0.0,1.0,728.0,0.0,886.0,286.0,GOOD,1993.0,1618.0,525000.0,1198.3469677386643,4579.113932811118,2055.980347113973,4.031550478272465
11398,2.0,2.0,2.0,HOUSE,HOUSE,STEENOKKERZEEL,1820,Esdoornlaan,13,,,,50.9264498,4.5145553,1.0,4.0,0.0,1.0,24.0,0.0,0.0,1.0,450.0,0.0,790.0,168.0,GOOD,1978.0,1291.0,529000.0,1325.3598014115762,1624.1517679547792,2005.8975144058425,5.812820743210817
11399,4.0,1.0,2.0,HOUSE,VILLA,Nivelles,1400,Rue De Dinant,38,,,3.0,50.6180951,4.350427799999999,1.0,4.0,0.0,1.0,13.0,0.0,0.0,1.0,1196.0,0.0,1361.0,262.0,GOOD,2009.0,3376.0,549000.0,558.9008604534307,424.5232509150769,2242.284836578961,7.476926794399401
11400,2.0,1.0,1.0,APARTMENT,APARTMENT,Evere,1140,Rue Pierre Van Obberghen,37,,2.0,3.0,50.8747115,4.397011,1.0,,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,,100.0,GOOD,2007.0,1529.0,299000.0,322.9245684835684,538.1645200672172,413.1792928586675,8.935204700071319
11401,2.0,0.0,1.0,APARTMENT,APARTMENT,Sint-Andries,8200,Torhoutse Steenweg,249,1.03,1.0,3.0,51.1953298,3.1997312,0.0,,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,,100.0,GOOD,2024.0,0.0,354000.0,523.2413898420863,2153.872627809512,300.1030217924202,7.666361047142597
11403,1.0,1.0,1.0,APARTMENT,APARTMENT,Schaarbeek,1030,Charbolaan,26,R4,4.0,4.0,50.8501787,4.3900845,1.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,28.0,GOOD,2004.0,705.0,137500.0,110.21248091002948,478.8937997254184,300.04630021066083,9.333756625495909
11404,2.0,1.0,1.0,APARTMENT,APARTMENT,OOSTROZEBEKE,8780,Leegstraat,2,12,1.0,,50.9197901,3.3316353,0.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,,142.0,GOOD,1979.0,777.0,140000.0,147.91436463615133,5427.145933678579,434.13816544034825,6.5133554035249
11405,2.0,1.0,1.0,APARTMENT,APARTMENT,OOSTROZEBEKE,8780,Leegstraat,2,10,1.0,,50.9197901,3.3316353,0.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,,117.0,GOOD,1979.0,844.0,149000.0,147.91436463615133,5427.145933678579,434.13816544034825,6.5133554035249
11406,2.0,1.0,1.0,APARTMENT,APARTMENT,OOSTROZEBEKE,8780,Leegstraat,2,5,1.0,,50.9197901,3.3316353,0.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,,117.0,GOOD,1979.0,844.0,149000.0,147.91436463615133,5427.145933678579,434.13816544034825,6.5133554035249
